renamed: 59
skipped: 0
errors: 0

renamed_detail:
一岡伶奈 - BEYOOOOONDS	BEYOOOOONDS - 一岡伶奈
中島早貴 - ℃-ute	℃-ute - 中島早貴
井上玲音 - こぶしファクトリー・Juice=Juice	こぶしファクトリー・Juice=Juice - 井上玲音
佐々木莉佳子 - アンジュルム	アンジュルム - 佐々木莉佳子
佐藤優樹 - モーニング娘。	モーニング娘。 - 佐藤優樹
入江里咲 - Juice=Juice	Juice=Juice - 入江里咲
前田こころ - BEYOOOOONDS	BEYOOOOONDS - 前田こころ
加賀楓 - モーニング娘。	モーニング娘。 - 加賀楓
北川莉央 - モーニング娘。	モーニング娘。 - 北川莉央
嗣永桃子 - Berryz工房・カントリー・ガールズ	Berryz工房・カントリー・ガールズ - 嗣永桃子
宮本佳林 - Juice=Juice	Juice=Juice - 宮本佳林
小片リサ - つばきファクトリー	つばきファクトリー - 小片リサ
小田さくら - モーニング娘。	モーニング娘。 - 小田さくら
小野瑞歩 - つばきファクトリー	つばきファクトリー - 小野瑞歩
小野田紗栞 - つばきファクトリー	つばきファクトリー - 小野田紗栞
小野田華凜 - OCHA NORMA	OCHA NORMA - 小野田華凜
小関舞 - カントリー・ガールズ	カントリー・ガールズ - 小関舞
尾形春水 - モーニング娘。	モーニング娘。 - 尾形春水
山岸理子 - つばきファクトリー	つばきファクトリー - 山岸理子
山木梨沙 - カントリー・ガールズ	カントリー・ガールズ - 山木梨沙
山﨑夢羽 - BEYOOOOONDS	BEYOOOOONDS - 山﨑夢羽
山﨑愛生 - モーニング娘。	モーニング娘。 - 山﨑愛生
岡井千聖 - ℃-ute	℃-ute - 岡井千聖
岡村ほまれ - モーニング娘。	モーニング娘。 - 岡村ほまれ
岡村美波 - BEYOOOOONDS	BEYOOOOONDS - 岡村美波
岸本ゆめの - つばきファクトリー	つばきファクトリー - 岸本ゆめの
島倉りか - BEYOOOOONDS	BEYOOOOONDS - 島倉りか
川村文乃 - アンジュルム	アンジュルム - 川村文乃
工藤由愛 - Juice=Juice	Juice=Juice - 工藤由愛
工藤遥 - モーニング娘。	モーニング娘。 - 工藤遥
平井美葉 - BEYOOOOONDS	BEYOOOOONDS - 平井美葉
新沼希空 - つばきファクトリー	つばきファクトリー - 新沼希空
梁川奈々美 - カントリー・ガールズ・Juice=Juice	カントリー・ガールズ・Juice=Juice - 梁川奈々美
森戸知沙希 - カントリー・ガールズ・モーニング娘。	カントリー・ガールズ・モーニング娘。 - 森戸知沙希
植村あかり - Juice=Juice	Juice=Juice - 植村あかり
横山玲奈 - モーニング娘。	モーニング娘。 - 横山玲奈
段原瑠々 - Juice=Juice	Juice=Juice - 段原瑠々
江口紗耶 - BEYOOOOONDS	BEYOOOOONDS - 江口紗耶
浅倉樹々 - つばきファクトリー	つばきファクトリー - 浅倉樹々
清野桃々姫 - BEYOOOOONDS	BEYOOOOONDS - 清野桃々姫
牧野真莉愛 - モーニング娘。	モーニング娘。 - 牧野真莉愛
生田衣梨奈 - モーニング娘。	モーニング娘。 - 生田衣梨奈
矢島舞美 - ℃-ute	℃-ute - 矢島舞美
石田亜佑美 - モーニング娘。	モーニング娘。 - 石田亜佑美
秋山眞緒 - つばきファクトリー	つばきファクトリー - 秋山眞緒
稲場愛香 - カントリー・ガールズ・Juice=Juice	カントリー・ガールズ・Juice=Juice - 稲場愛香
竹内朱莉 - アンジュルム	アンジュルム - 竹内朱莉
羽賀朱音 - モーニング娘。	モーニング娘。 - 羽賀朱音
船木結 - カントリー・ガールズ・アンジュルム	カントリー・ガールズ・アンジュルム - 船木結
萩原舞 - ℃-ute	℃-ute - 萩原舞
西田汐里 - BEYOOOOONDS	BEYOOOOONDS - 西田汐里
譜久村聖 - モーニング娘。	モーニング娘。 - 譜久村聖
谷本安美 - つばきファクトリー	つばきファクトリー - 谷本安美
里吉うたの - BEYOOOOONDS	BEYOOOOONDS - 里吉うたの
野中美希 - モーニング娘。	モーニング娘。 - 野中美希
野村みな美 - こぶしファクトリー	こぶしファクトリー - 野村みな美
金澤朋子 - Juice=Juice	Juice=Juice - 金澤朋子
鈴木愛理 - ℃-ute	℃-ute - 鈴木愛理
高瀬くるみ - BEYOOOOONDS	BEYOOOOONDS - 高瀬くるみ
